Sum of Performance (Megatrials/sec),Column Labels,,,,,,,,,
Row Labels,1,10,100,1000,10000,100000,500000,1000000,Grand Total,
1,0,0,34.95,23.3,25.76,29.73,30.96,30.21,174.91,
2,0,0,104.86,72.32,60.61,61.12,60.29,60.09,419.29,
4,0,0,104.86,144.63,125.2,118.62,117.92,101.89,713.12,
8,0.02,0.16,1.57,14.12,57.54,86.14,161.24,128.49,449.28,
12,0.02,0.22,2.13,19.97,83.22,121.96,121.6,126.52,475.64,
16,0.01,0.15,1.33,14.07,68.09,129.37,110.91,159.87,483.8,
20,0.01,0.11,1.12,10.41,67.65,123.76,135.87,132.8,471.73,
24,0.01,0.08,0.75,7.15,49.99,109.4,143.14,133.9,444.42,
32,0.01,0.05,0.52,5.18,40.8,124.39,144.67,137.27,452.89,
Grand Total,0.08,0.77,252.09,311.15,578.86,904.49,1026.6,1011.04,4085.08,
,,,,,,,,,,
,,,,,,,,,,
,1,10,100,1000,10000,100000,500000,1000000,,Fp
1,0,0,34.95,23.3,25.76,29.73,30.96,30.21,,1.966716592
2,0,0,104.86,72.32,60.61,61.12,60.29,60.09,,1.320247326
4,0,0,104.86,144.63,125.2,118.62,117.92,101.89,,1.133962621
8,0.02,0.16,1.57,14.12,57.54,86.14,161.24,128.49,,1.082286667
12,0.02,0.22,2.13,19.97,83.22,121.96,121.6,126.52,,1.059994579
16,0.01,0.15,1.33,14.07,68.09,129.37,110.91,159.87,,1.044705136
20,0.01,0.11,1.12,10.41,67.65,123.76,135.87,132.8,,1.035685294
24,0.01,0.08,0.75,7.15,49.99,109.4,143.14,133.9,,1.024738154
32,0.01,0.05,0.52,5.18,40.8,124.39,144.67,137.27,,1.208542046